Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,,Genre,,Director,,,,Rank
Goblin,"Dec  2, 2016 - Jan 21, 2017",2016,tvN," Friday, Saturday",16,1 hr. 22 min.,15+ - Teens 15 or older,8.8,,"Comedy,  Romance,  Fantasy,  Melodrama ",,Lee Eung Bok,,,,#27
The Uncanny Counter,"Nov 28, 2020 - Jan 24, 2021",2020,"Netflix,  OCN "," Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.8,,"Action,  Mystery,  Drama,  Supernatural ",,Yoo Seon Dong,,,,#28
Mouse,"Mar  3, 2021 - May 19, 2021",2021,tvN," Wednesday, Thursday",20,1 hr. 15 min.,18+ Restricted (violence & profanity),8.7,,"Thriller,  Mystery,  Sci-Fi ",,"Choi Joon Bae, Kang Cheol Woo",,,,#29
Kingdom,25-Jan-19,2019,Netflix,Friday,6,51 min.,18+ Restricted (violence & profanity),8.8,,"Thriller,  Historical,  Horror,  Political ",,Kim Sung Hoon,,,,#30
Weightlifting Fairy Kim Bok Joo,"Nov 16, 2016 - Jan 11, 2017",2016,MBC," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.8,,"Comedy,  Romance,  Youth,  Sports ",,"Oh Hyun Jong, Nam Sung Woo",,,,#31
D.P.,27-Aug-21,2021,Netflix,Friday,6,50 min.,15+ - Teens 15 or older,8.8,,"Action,  Military,  Comedy,  Drama ",,Han Jun Hee,,,,#32
The Devil Judge,"Jul  3, 2021 - Aug 22, 2021",2021,tvN," Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.8,,"Mystery,  Law,  Crime,  Drama ",,Choi Jung Gyu,,,,#33
The Penthouse,"Oct 26, 2020 - Jan  5, 2021",2020,SBS," Monday, Tuesday",21,1 hr. 25 min.,15+ - Teens 15 or older,8.8,,"Thriller,  Mystery,  Drama,  Family ",,Joo Dong Min,,,,#34
Youth of May,"May  3, 2021 - Jun  8, 2021",2021,KBS2," Monday, Tuesday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.8,,"Historical,  Romance,  Drama,  Melodrama ",,"Song Min Yeop, Lee Dae Kyung",,,,#35
Taxi Driver,"Apr  9, 2021 - May 29, 2021",2021,SBS," Friday, Saturday",16,1 hr. 5 min.,18+ Restricted (violence & profanity),8.8,,"Action,  Thriller,  Mystery,  Drama ",,Park Joon Woo,,,,#36
Life on Mars,"Jun  9, 2018 - Aug  5, 2018",2018,OCN," Saturday, Sunday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,,"Action,  Mystery,  Comedy,  Supernatural ",,Lee Jeong Hyo,,,,#37
